Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,6400.000000,7300.000000,6300.000000,6900.000000,5788.157715,15611600
2021-04-07,6950.000000,7100.000000,6725.000000,6850.000000,5746.214844,6449700
2021-04-08,6850.000000,7075.000000,6650.000000,6700.000000,5620.385254,5184400
2021-04-09,6700.000000,6850.000000,6500.000000,6625.000000,5557.470703,6122700
2021-04-12,6600.000000,6750.000000,6325.000000,6350.000000,5326.782715,5837000
2021-04-13,6350.000000,6775.000000,6175.000000,6525.000000,5473.584473,9280000
2021-04-14,6575.000000,6750.000000,6450.000000,6700.000000,5620.385254,5212300
2021-04-15,6750.000000,6750.000000,6450.000000,6475.000000,5431.640625,2341500
2021-04-16,6525.000000,6625.000000,6475.000000,6525.000000,5473.584473,1735300
2021-04-19,6550.000000,6700.000000,6400.000000,6400.000000,5368.725586,6527100
2021-04-20,6400.000000,6500.000000,6300.000000,6425.000000,5389.697266,1836700
2021-04-21,6400.000000,6525.000000,6400.000000,6500.000000,5452.612793,2133000
2021-04-22,6400.000000,6575.000000,6400.000000,6475.000000,5431.640625,1868700
2021-04-23,6475.000000,6550.000000,6450.000000,6475.000000,5431.640625,2422500
2021-04-26,6475.000000,6650.000000,6450.000000,6550.000000,5494.556152,1555800
2021-04-27,6600.000000,6625.000000,6400.000000,6450.000000,5410.668945,2838200
2021-04-28,6450.000000,6575.000000,6450.000000,6525.000000,5473.584473,1412500
2021-04-29,6500.000000,6550.000000,6400.000000,6550.000000,5494.556152,2275700
2021-04-30,6550.000000,6625.000000,6450.000000,6575.000000,5515.527344,2427400
2021-05-03,6575.000000,6575.000000,6175.000000,6275.000000,5263.868164,3042600
2021-05-04,6175.000000,6325.000000,6075.000000,6200.000000,5200.953125,1298800
2021-05-05,6225.000000,6400.000000,6200.000000,6300.000000,5284.839355,1210200
2021-05-06,6325.000000,6400.000000,6250.000000,6275.000000,5263.868164,1021300
2021-05-07,6275.000000,6450.000000,6100.000000,6200.000000,5200.953125,4260400
2021-05-10,6225.000000,6225.000000,6100.000000,6125.000000,5138.038574,1568800
2021-05-11,6125.000000,6175.000000,6025.000000,6075.000000,5096.095703,1771900
2021-05-17,6075.000000,6100.000000,5825.000000,5975.000000,5012.209473,2160300
2021-05-18,5975.000000,6150.000000,5850.000000,6100.000000,5117.066895,2186700
2021-05-19,6100.000000,6150.000000,5925.000000,5950.000000,4991.237793,1057400
2021-05-20,5950.000000,6500.000000,5900.000000,6375.000000,5347.753906,5968900
2021-05-21,6400.000000,6775.000000,6400.000000,6600.000000,5536.499023,7454000
2021-05-24,6600.000000,6700.000000,6150.000000,6300.000000,5284.839355,5223400
2021-05-25,6425.000000,6425.000000,6200.000000,6400.000000,5368.725586,1151000
2021-05-27,6400.000000,6500.000000,6200.000000,6200.000000,5200.953125,2473900
2021-05-28,6225.000000,6375.000000,6200.000000,6250.000000,5242.896484,1912700
2021-05-31,6250.000000,6475.000000,6250.000000,6350.000000,5326.782715,1839600
2021-06-02,6350.000000,6750.000000,6350.000000,6625.000000,5557.470703,3440800
2021-06-03,6650.000000,7000.000000,6500.000000,6925.000000,5809.129395,3384500
2021-06-04,6925.000000,6950.000000,6600.000000,6650.000000,5578.442383,1879300
2021-06-07,6750.000000,6850.000000,6650.000000,6700.000000,5620.385254,1170300
2021-06-08,6700.000000,6700.000000,6300.000000,6375.000000,5347.753906,2439100
2021-06-09,6375.000000,6950.000000,6350.000000,6800.000000,5704.271484,3821900
2021-06-10,6875.000000,7200.000000,6800.000000,6900.000000,5788.157715,4109300
2021-06-11,6950.000000,7075.000000,6650.000000,6775.000000,5683.299805,2316600
2021-06-14,6775.000000,6975.000000,6775.000000,6900.000000,5788.157715,1485800
2021-06-15,6925.000000,7000.000000,6600.000000,6750.000000,5662.328613,2062500
2021-06-16,6750.000000,6800.000000,6500.000000,6525.000000,5473.584473,1987800
2021-06-17,6525.000000,6625.000000,6450.000000,6550.000000,5494.556152,1370300
2021-06-18,6600.000000,6850.000000,6500.000000,6825.000000,5725.243164,4398100
2021-06-21,6825.000000,7125.000000,6500.000000,7100.000000,5955.930664,4407400
2021-06-22,7100.000000,7425.000000,6950.000000,7200.000000,6039.816895,4330000
2021-06-23,7200.000000,7375.000000,6975.000000,6975.000000,5851.072266,1869800
2021-06-24,6975.000000,6975.000000,6800.000000,6875.000000,5767.186035,1821100
2021-06-25,6850.000000,6950.000000,6775.000000,6950.000000,5830.101074,804100
2021-06-28,7000.000000,7100.000000,6825.000000,6900.000000,5788.157715,971000
2021-06-29,6925.000000,7050.000000,6700.000000,7050.000000,5913.987305,2207300
2021-06-30,7200.000000,7200.000000,6800.000000,6850.000000,5746.214844,2608400
2021-07-01,6825.000000,6825.000000,6425.000000,6425.000000,5389.697266,4775100
2021-07-02,6425.000000,6600.000000,6375.000000,6400.000000,5368.725586,1299800
2021-07-05,6400.000000,6500.000000,6250.000000,6275.000000,5263.868164,1174400
2021-07-06,6300.000000,6425.000000,6300.000000,6350.000000,5326.782715,1244500
2021-07-07,6375.000000,6375.000000,6050.000000,6150.000000,5159.010254,3955000
2021-07-08,6175.000000,6200.000000,6050.000000,6075.000000,5096.095703,3336700
2021-07-09,6100.000000,6200.000000,6000.000000,6075.000000,5096.095703,1535900
2021-07-12,6100.000000,6500.000000,6075.000000,6450.000000,5410.668945,3402700
2021-07-13,6450.000000,6500.000000,6050.000000,6075.000000,5096.095703,3791700
2021-07-14,6075.000000,6125.000000,6025.000000,6100.000000,5117.066895,1031200
2021-07-15,6100.000000,6200.000000,6100.000000,6125.000000,5138.038574,1101800
