energy_0,contrast_0,correlation_0,homogeneity_0,energy_45,contrast_45,correlation_45,homogeneity_45,energy_90,contrast_90,correlation_90,homogeneity_90,energy_135,contrast_135,correlation_135,homogeneity_135,label
0.742523364,58.41834874,0.981924212,0.83483567,0.74052034,75.1343689,0.976812224,0.818909369,0.742682439,48.99851046,0.984838896,0.840028463,0.740580769,77.88665771,0.97596282,0.817442298,1
0.80759934,54.82852018,0.979005662,0.882528667,0.805939949,76.27267456,0.970881649,0.869988741,0.806925543,71.87740151,0.972477491,0.880318898,0.805126157,98.88806152,0.962247853,0.865227463,1
0.827242705,71.48559095,0.972016336,0.88843299,0.825791336,98.61721802,0.961515329,0.87651609,0.827149788,74.86350924,0.97069402,0.887923895,0.825715165,101.3945618,0.96043149,0.875989289,1
0.87668851,60.41567364,0.959565923,0.918199871,0.875697891,77.47360229,0.948324379,0.910391215,0.876735314,58.19351897,0.961053133,0.917700511,0.875543993,81.25012207,0.945805405,0.908153443,1
0.894887656,54.55161722,0.955627176,0.931225354,0.89407637,67.49371338,0.945289929,0.925986684,0.894843523,55.93242339,0.954504014,0.932633136,0.893710287,80.35748291,0.93486262,0.924491674,1
0.893113602,48.72552894,0.959361269,0.929871185,0.891440902,86.73236084,0.92791202,0.922670844,0.89256826,66.23714129,0.944755996,0.929436561,0.891974535,70.33013916,0.941544798,0.922315753,1
0.871923156,53.92138862,0.964328414,0.917697084,0.870393781,88.23773193,0.941822233,0.908631121,0.871588995,66.45814081,0.956034751,0.915901198,0.870637199,80.33850098,0.947030431,0.907431431,1
0.694552162,111.9935858,0.975969033,0.804024348,0.691547702,177.822998,0.961930517,0.781454542,0.693611415,121.9001094,0.973855984,0.804718392,0.692863458,127.2331848,0.972761107,0.787747755,1
0.743213201,91.38342048,0.979205656,0.838276634,0.741806098,101.7184753,0.976913728,0.824324332,0.742988369,97.62275049,0.977785893,0.840356561,0.7404902,151.5448914,0.965605004,0.819751895,1
0.809963275,51.79599343,0.977035433,0.880614288,0.808187153,77.86343384,0.965582186,0.865816061,0.809934329,54.7134302,0.975741941,0.879591714,0.808430485,70.66491699,0.968764131,0.867145185,1
0.786110708,53.83992095,0.97692522,0.863293931,0.784326341,73.4906064,0.968594934,0.849230276,0.786471999,45.12670619,0.980660419,0.867286131,0.784857772,59.46360367,0.974589155,0.853847925,1
0.754189848,42.92397252,0.983524859,0.847690524,0.752077048,62.66369629,0.976012065,0.830307397,0.753825903,50.14652237,0.98075269,0.847680833,0.752172341,63.29330444,0.975771048,0.832977765,1
0.839443793,39.15187257,0.977438199,0.894434201,0.838288463,49.20526123,0.971734649,0.884927547,0.839403076,41.34806663,0.976172612,0.897292845,0.837846696,58.48059082,0.966406551,0.885323079,1
0.758280632,72.79459509,0.976360538,0.8515118,0.75710666,74.50747681,0.975869198,0.8369047,0.759163657,49.02097519,0.984080831,0.854339205,0.756114153,98.45083618,0.968114641,0.835167731,1
0.877856113,28.44750122,0.968049769,0.921678537,0.876714495,39.42935181,0.955864945,0.912714271,0.877905819,28.8282162,0.967622177,0.92361909,0.876870632,36.24636841,0.959427802,0.916614962,1
0.757711954,74.0572106,0.981027374,0.845332536,0.755852938,102.020874,0.973933302,0.828936604,0.757899712,67.41731518,0.98272844,0.848375345,0.755822743,99.41824341,0.974598283,0.829203554,1
0.715644459,64.64968385,0.978213644,0.817299598,0.713659898,84.78442383,0.971496951,0.800534022,0.715688977,64.96115029,0.978108683,0.820536771,0.713505678,88.57659912,0.970222088,0.797741289,1
0.735213212,62.63405885,0.982232786,0.829198962,0.733186183,87.41915894,0.975264863,0.811474259,0.735075784,66.4583232,0.981147969,0.829318476,0.733074444,89.67880249,0.9746255,0.808871075,1
0.781518276,63.92290856,0.979906177,0.853644697,0.779995362,81.29043579,0.974519824,0.837388701,0.781502155,65.00933244,0.979564666,0.853027686,0.779492098,96.74087524,0.969676943,0.836915897,1
0.829303136,65.65491245,0.975819251,0.882870811,0.828018179,81.81356812,0.969962304,0.873970371,0.829459024,57.57833779,0.978793859,0.88794335,0.827882249,89.20144653,0.967249859,0.873070296,1
0.739849716,64.21903879,0.979048059,0.826826551,0.737272258,109.8010406,0.964270449,0.811934158,0.737456645,101.1887768,0.96705647,0.828687499,0.737210178,109.749649,0.964287172,0.810997106,1
0.881069379,30.30362354,0.97066112,0.920927027,0.879838498,43.84451294,0.957695469,0.913933696,0.880766265,36.84995136,0.9643232,0.921730835,0.879883724,44.53329468,0.95703088,0.912605111,1
0.783780095,54.5001216,0.982428816,0.867652794,0.782192474,72.29983521,0.97675652,0.850488027,0.783914403,51.32721304,0.983451782,0.865613986,0.782043485,75.68157959,0.975669332,0.853036274,1
0.829847814,44.32210603,0.97587325,0.887590828,0.82844155,57.99136353,0.968531043,0.878466868,0.829803819,44.68853356,0.975673785,0.888733553,0.828379107,60.949646,0.966925733,0.876418392,1
0.777229981,53.87776629,0.975930061,0.859615423,0.775531132,73.92828369,0.96706512,0.847502851,0.777199743,54.63901386,0.975589973,0.865242824,0.775419476,72.35266113,0.967767056,0.846259501,1
